system   D            wsystem.c:583  maybe_parent_dir                 [   0.00080] Also searching C:\Users\Aleksandra\Desktop\OLKA\snake-gra\Project3\
display  D   display_settings.c:191  debug_display_settings           [   0.03637] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03638] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03640] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03641] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03642] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03644] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03645] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03647] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03648] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03649] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03651] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03652] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03654] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03655] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03656] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03658] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03659] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03661] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03662] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03664] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03665] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03666] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03668] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03669] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03670] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03672] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03673] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03680] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03682] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03684] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03685] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03687] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03688] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03689] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03691] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03692] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03693] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03695] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.03699] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.03783] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.03789] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.04897] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.06514] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.06518] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.06521] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.06525] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.06528] Returning d3d_display: 015D9C70
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.06530] al_display=015D9C70
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.06531] al_display->vt=01568608
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.06857] Font Resources/font.otf loaded with pixel size 0 x 15.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.06861]     ascent=16.0, descent=-5.0, height=20.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.06864] added dtor for object 015D96C8, func 01961B36
dtor     D               dtor.c:184  _al_register_destructor          [   0.06866] added dtor for object 07D61E60, func 019627A7
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07220] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07223] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07224] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07225] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07226] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07227] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07228] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07229] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07231] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.07237] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.07239] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.07240] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.07241] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.07278] added dtor for object 07D6E988, func 01962590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.07380] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.07383] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08046] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08049] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08051] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08052] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08053] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08054] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08055] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08056] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08058] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.08059] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.08060] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.08061] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.08063] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   0.08113] Glyph 47: 9x12 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09481] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09488] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.09645] Glyph 80: 9x9 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09705] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09709] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.09834] Glyph 88: 11x9 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09862] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09864] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.09997] Glyph 66: 9x9 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10022] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10024] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:406  cache_glyph                      [   0.10420] Glyph 1 has zero size.
font     D                ttf.c:217  alloc_glyph_region               [   0.10433] Glyph 40: 9x12 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10455] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10457] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.10568] Glyph 83: 9x9 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10620] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10624] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.10771] Glyph 51: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10801] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10804] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.10925] Glyph 79: 9x9 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10943] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10945] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.11046] Glyph 76: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11060] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11063] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.11162] Glyph 74: 7x13 (8x16)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11179] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11181] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.11302] Glyph 72: 10x13 (12x16)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11316] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11318] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.11420] Glyph 44: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11447] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11450] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.11548] Glyph 70: 9x9 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11560] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11562] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.11660] Glyph 68: 9x9 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11691] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11694] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12304] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12307] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12384] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12387] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49877] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49886] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49891] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49896] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49902] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49908] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49912] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49916] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49921] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.49925] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.49930] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.49935] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.49939] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   1.50001] added dtor for object 07D9D490, func 01962590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.50180] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.50189] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.50741] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.50752] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.51000] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.51009] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.51015] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.51019] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.51024] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.51029] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.51034] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.51038] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.51043] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.51047] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.51052] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.51057] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.51061] Chose bitmap format 9
